Original Tweet Index,Actual Value,Predicted Value
410292,0,0.0006695118
213474,0,0.0030615325
202655,0,0.16828158
667613,0,0.008732349
134566,0,0.012729243
69018,0,0.009354236
119926,0,0.034128845
475675,0,0.30168813
770314,0,0.018602703
260115,0,0.26667345
737115,0,0.0073275035
667148,0,0.0066857683
427541,0,0.0037227524
504412,0,0.7115365
488407,0,0.011413006
344089,0,0.48296335
82866,0,0.004693918
392882,0,0.011387333
601464,0,0.5434881
130511,0,0.5962045
384289,0,0.52700347
191410,0,0.01303027
361102,0,0.011113273
633363,0,0.009338275
97740,0,0.569582
143388,0,0.5595686
336197,0,0.016754579
374626,0,0.47105807
591188,0,0.0055888416
669870,0,0.3007705
660992,0,0.441321
145396,0,0.5317975
48473,0,0.016909575
407130,0,0.0042680358
39262,0,0.0033449612
768037,0,0.502666
749245,0,0.004599415
151337,0,0.008233855
299964,0,0.0054265196
620614,0,0.13476461
490912,0,0.31280565
658958,0,0.07570816
258963,0,0.0038284175
222042,0,0.36886346
570012,0,0.013645985
308961,0,0.0021122086
237137,0,0.00664287
770335,0,0.27248347
698868,0,0.35418433
223491,0,0.56450677
146162,0,0.029722363
691682,0,0.003605294
554225,0,0.006519438
542749,0,0.2863659
176277,0,0.2284176
75782,0,0.005360646
272497,0,0.6163203
513369,0,0.0062187756
581014,0,0.008354027
93366,0,0.78445613
48135,0,0.44329682
5600,0,0.0028069487
365151,0,0.008426836
62431,0,0.4414413
471928,0,0.40298948
569328,0,0.018859953
312845,0,0.0065045618
1489,0,0.5268956
305256,0,0.0035547167
464586,0,0.39623666
557271,0,0.47105807
347257,0,0.5485797
312834,0,0.005453229
308859,0,0.3167467
171237,0,0.16745341
530827,0,0.6623254
181996,0,0.5775586
450524,0,0.0027030788
191094,0,0.01051028
416107,0,0.0012284451
480573,0,0.5711209
793380,0,0.008726967
18728,0,0.44485158
340499,0,0.010711864
777220,0,0.0062029134
627932,0,0.09984078
567309,0,0.0006705428
411663,0,0.014252954
601813,0,0.012937928
32562,0,0.6674118
380685,0,0.93124056
196589,0,0.086254835
657705,0,0.0009170827
798736,0,0.5301548
310385,0,0.46360418
161679,0,0.0072531356
569267,0,0.008146497
51734,0,0.21752015
645420,0,0.021980155
89369,0,0.012516967
346131,0,0.01545831
623967,0,4.5492503e-05
698781,0,0.0027188729
224311,0,0.5352586
588912,0,0.085161164
680043,0,0.06443977
58973,0,0.60631853
752826,0,0.008227847
71494,0,0.0064215497
188143,0,0.07664632
252711,0,0.5236527
677228,0,0.0040660957
658865,0,0.017202418
521632,0,0.011614665
459045,0,0.22039123
237548,0,0.0030632268
300482,0,0.4836587
743879,0,0.0065415874
166401,0,0.8896446
659016,0,0.22980307
783246,0,0.0013858486
462333,0,0.004710307
185810,0,0.0049133757
327586,0,0.14829595
98578,0,0.5439786
706862,0,0.22393842
420059,0,0.002897105
535009,0,0.010219277
361401,0,0.35486412
260753,0,0.60400856
334340,0,0.0063465605
84464,0,0.71839356
48032,0,0.007303682
136628,0,0.012076187
642729,0,0.19775505
610465,0,0.0041253823
383456,0,0.013123572
379053,0,0.0071860715
631073,0,0.003212674
185203,0,0.001762286
497838,0,0.0026590775
202145,0,0.4024069
139223,0,0.010954891
656642,0,0.0642612
63275,0,0.1796455
53924,0,0.0023605058
99694,0,0.20546058
36889,0,0.012214991
99685,0,0.006424319
199515,0,0.0352865
298739,0,0.43931818
748723,0,0.0025792122
744025,0,0.020308843
732165,0,0.012340516
172221,0,0.8897368
616749,0,0.0066519803
456121,0,0.011683938
157285,0,0.18041436
663199,0,0.14422472
776367,0,0.5370648
692374,0,0.0033751978
553998,0,0.009476471
101986,0,0.1941542
765407,0,0.5508665
435548,0,0.69838715
406514,0,0.5356691
274496,0,0.8831711
476855,0,0.00693074
690368,0,0.001467499
371794,0,0.01400477
212433,0,0.011235964
539766,0,0.006098712
155558,0,0.0036636274
548529,0,0.008207801
507054,0,0.012330244
157888,0,0.008876694
555028,0,0.061977804
267542,0,0.5962045
246202,0,0.099892095
69472,0,0.022503557
32969,0,0.53034174
670274,0,0.005785912
256838,0,0.013774339
781529,0,0.021162678
779610,0,0.52700347
52738,0,0.009195243
501412,0,0.57767105
566671,0,0.004504887
41654,0,0.0016068597
538509,0,0.4077915
609958,0,0.5485797
218696,0,0.010609052
62539,0,0.18491894
221030,0,0.0014175338
437441,0,0.01251201
89579,0,0.46464464
192454,0,0.008595952
411434,0,0.12336931
251501,0,0.47105807
306076,0,0.038138255
453220,0,0.013029903
213562,0,0.008966625
69998,0,0.022238344
347161,0,0.5095273
701485,0,0.39540648
787310,0,0.0030448127
718520,0,0.012112784
322814,0,5.5896664e-05
243986,0,0.013764457
333109,0,0.017478464
161970,0,0.002737574
349570,0,0.0108916005
496302,0,0.00016900328
457443,0,0.07358423
540241,0,0.09583703
453625,0,0.007320368
258377,0,0.0048743384
332406,0,0.076848455
68967,0,0.59459424
743392,0,0.37007618
95648,0,0.009333108
610564,0,0.49387795
59618,0,0.05190821
633333,0,0.494043
596776,0,0.14987972
799686,0,0.0114577515
764763,0,0.003327404
522397,0,0.00092254113
409353,0,0.18279256
565091,0,0.24129766
266960,0,0.00070402154
420300,0,0.006884088
303677,0,0.18924029
691395,0,0.004729769
314308,0,0.49880263
481999,0,0.05006756
66747,0,0.010891766
124213,0,0.006566343
226863,0,0.22985494
463700,0,0.48873693
367922,0,0.10192625
479826,0,0.75894535
335894,0,0.012954829
98930,0,0.0078015625
129368,0,0.5035507
215135,0,0.4298162
176860,0,0.010184417
22097,0,0.4159922
21005,0,0.52700347
271533,0,0.5161914
56167,0,0.03690535
106331,0,0.0018782007
201925,0,0.009294674
371745,0,0.0015091951
488107,0,0.2120445
528700,0,0.5034152
794493,0,0.16182747
381371,0,0.18873067
663027,0,0.019975675
408532,0,0.0025353439
403622,0,0.22731982
80241,0,0.010996418
424013,0,0.01575129
606827,0,0.49189356
476894,0,0.48371994
419934,0,0.008857239
463895,0,0.010981333
289487,0,0.2446552
173503,0,0.0082751205
361727,0,0.0062583727
130814,0,0.0067668897
698004,0,0.04565026
289727,0,0.005991315
590513,0,0.8049569
483857,0,0.004351138
785835,0,0.0065995436
376710,0,0.1985062
752516,0,0.008313271
697123,0,0.0058612903
471540,0,0.0014771025
354346,0,0.11431077
273584,0,0.01012201
538652,0,0.21329731
174080,0,0.011019405
658625,0,0.013122895
172363,0,0.13785848
430397,0,0.005623501
767663,0,0.20479652
734537,0,0.022167547
2641,0,0.09867364
61743,0,0.0066637136
659935,0,0.35648862
437703,0,0.019555854
671288,0,0.027099282
391502,0,0.55160314
264474,0,0.004268288
398441,0,0.55092776
792718,0,0.33950353
529966,0,0.01106512
704460,0,0.7620636
369142,0,0.47697777
606,0,0.0055542868
47103,0,0.006181833
312423,0,0.4160744
693706,0,0.49278075
407641,0,0.61616886
467014,0,0.002736584
135558,0,0.005469803
168800,0,0.009926772
634620,0,0.006914497
592045,0,0.5087966
206169,0,0.0040724534
133082,0,0.0048670475
748773,0,0.17056474
450805,0,0.007494351
498872,0,0.016654562
495716,0,0.095933236
88937,0,0.67622507
179634,0,0.01355638
390765,0,0.44066644
542489,0,0.23908475
222363,0,0.46230045
672318,0,0.29795688
257574,0,0.64204884
76073,0,0.008729904
466557,0,0.44129252
322503,0,0.21967329
173285,0,0.005771163
718199,0,0.36910516
136520,0,0.0068793115
649344,0,0.004289205
252000,0,0.0101104835
745723,0,0.52700347
135570,0,0.2905547
573845,0,0.49640396
127957,0,0.0031423124
5272,0,0.012869267
717732,0,0.005616507
491481,0,0.00066983514
511161,0,0.012163053
673497,0,0.36375222
405215,0,0.016851254
181585,0,0.00836163
209228,0,0.0049856817
25464,0,0.51866734
755934,0,0.005056186
93525,0,0.0039705867
428018,0,0.0058776727
40713,0,0.43372533
183010,0,0.008504177
162343,0,0.008090424
2722,0,0.14159173
279686,0,0.007010068
686438,0,0.511516
128412,0,0.40093324
614569,0,0.019782849
256728,0,0.006341158
527712,0,0.044569757
754862,0,0.0066954936
710957,0,0.0044200136
418421,0,0.020323042
45585,0,0.01215061
647198,0,0.008461855
234211,0,0.008858729
490188,0,0.5262047
451697,0,0.5962045
721249,0,0.5485797
271297,0,0.1175125
107689,0,0.5268956
602787,0,0.12811454
211431,0,0.009287519
194186,0,0.2696793
147006,0,0.46196577
355500,0,0.0048149345
302671,0,0.5147729
690484,0,0.34548622
314370,0,0.0048288284
11686,0,0.010525027
750331,0,0.5962045
613700,0,0.0055986885
582538,0,0.014596062
238767,0,0.00773253
131612,0,0.12630962
280905,0,0.003282204
287171,0,0.4681126
234894,0,0.011550692
731828,0,0.0027376954
663899,0,0.74852204
575357,0,0.12161279
486683,0,0.0002900728
545823,0,0.09296762
132331,0,0.0042633293
715130,0,0.4696295
300033,0,0.53034174
117934,0,0.00721406
650725,0,0.51272184
515669,0,0.016310593
59211,0,0.006919917
662598,0,0.27679563
212214,0,0.009510093
227926,0,0.5485797
161961,0,0.0049503497
765763,0,0.00014560537
265713,0,0.005605164
778454,0,0.005719021
72582,0,0.011948044
274116,0,0.51286566
724067,0,0.013989877
164443,0,0.3167358
501870,0,0.0024143304
299332,0,0.007397797
408920,0,0.25862116
83147,0,0.9520359
43960,0,0.004798427
286208,0,0.009195212
67581,0,0.07412594
531365,0,0.009959275
177321,0,0.20588931
269029,0,0.006031166
213883,0,0.44885695
430537,0,0.0038971875
281045,0,0.79215074
345968,0,0.1981557
671111,0,0.30741435
446427,0,0.059136264
685804,0,0.21406958
73431,0,0.44177547
110346,0,0.23456039
253856,0,0.0069866204
187121,0,0.05283515
723986,0,0.4372318
782737,0,0.0024858105
375004,0,0.009069266
353494,0,0.34092346
163443,0,0.017494176
55343,0,0.46990696
728508,0,0.004492242
126351,0,0.6512643
644952,0,0.001242625
761070,0,0.0035711345
354142,0,0.5212545
431934,0,0.4607198
259169,0,0.40884966
586727,0,0.039374396
466599,0,0.005400544
785501,0,0.00062212005
184864,0,0.009364669
560884,0,0.6464483
570014,0,0.5962045
563661,0,0.0038363927
340905,0,0.17189208
408825,0,0.5485797
341777,0,0.004156827
731489,0,0.007971744
364851,0,0.018612685
774364,0,0.052150264
508369,0,0.15383123
179098,0,0.008741272
251126,0,0.2196686
369296,0,0.020656884
61259,0,0.0032817165
156639,0,0.5034152
84645,0,0.015429863
98582,0,0.0036817938
117019,0,0.022596598
208231,0,0.024843808
275877,0,0.014940493
305307,0,0.00660564
407404,0,0.0052303323
361387,0,0.17733006
401466,0,0.54998946
675884,0,0.43827385
183483,0,0.52422476
282398,0,0.5595686
441934,0,0.46132052
140093,0,0.025807973
169019,0,0.007506177
10177,0,0.01218487
610609,0,0.4840569
464466,0,0.45525548
150121,0,0.0034026613
35989,0,0.010581669
429585,0,0.46985805
518361,0,0.031357158
29332,0,0.53034174
28484,0,0.17717396
252641,0,0.003994056
602429,0,0.5595686
56105,0,0.0106594525
523147,0,0.5245076
721579,0,0.012907682
611047,0,0.91212916
583685,0,0.24571803
476165,0,0.0048590857
311707,0,0.12983714
104793,0,0.18265507
557766,0,0.0044913376
75335,0,0.013235054
766115,0,0.49586335
567638,0,0.08128246
2922,0,0.0034287332
97588,0,0.0091458205
379404,0,0.5595686
565991,0,0.0060686325
540436,0,0.006882423
560115,0,0.5485797
462599,0,0.0025378817
473522,0,0.01182163
381631,0,0.0031357163
723969,0,0.008084058
461881,0,0.00436788
721531,0,0.0150964325
391018,0,0.3025724
617681,0,0.47451982
727483,0,0.00091132754
768774,0,0.52525383
663756,0,0.014237769
622463,0,0.25076216
434133,0,0.009693468
725343,0,0.0025554486
399257,0,0.016142543
245917,0,0.044646494
125657,0,0.59461224
604615,0,0.008722989
195781,0,0.29273283
368348,0,0.0049699508
310598,0,0.007740834
603795,0,0.13899037
359627,0,0.0056342077
722407,0,0.00061886566
258764,0,0.53034174
766328,0,0.013818181
94573,0,0.06926046
757722,0,0.0020218762
747860,0,0.5143118
161652,0,0.52700347
546769,0,0.43931818
71611,0,0.0125649795
340628,0,0.03820537
575717,0,0.006278867
705979,0,0.3974877
257870,0,0.0042519732
287168,0,0.39789104
681622,0,0.0007405593
19258,0,0.004712092
261963,0,0.010426601
577494,0,0.0020083978
352806,0,0.0018773675
534450,0,0.015084953
668534,0,0.0022612065
299253,0,0.4640062
455395,0,0.0067213755
437571,0,0.49008372
759044,0,0.005089265
53413,0,0.0040206695
271230,0,0.34283713
417624,0,0.00399078
116695,0,0.6338195
432608,0,0.46225092
506445,0,0.43801713
789479,0,0.4372318
145022,0,0.010100266
587768,0,0.6254883
256702,0,0.00377276
64941,0,0.47929332
392594,0,0.0013508631
617758,0,0.008616315
85380,0,0.0038730942
652825,0,0.13084197
661743,0,0.46464464
76855,0,0.5409517
476361,0,0.00081906666
100571,0,0.5485797
578585,0,0.30977774
570893,0,0.009183467
235235,0,0.4395502
284080,0,0.011362104
169219,0,0.5064141
422212,0,0.0056203157
550399,0,0.5262047
517041,0,0.6221075
240292,0,0.007516773
135227,0,0.013752853
567866,0,0.009268247
294780,0,0.348067
789102,0,0.5485797
35132,0,0.77909684
197763,0,0.3787995
73900,0,0.008721298
372666,0,0.0100917
666639,0,0.5513728
703485,0,0.0035553211
206977,0,0.49753287
607560,0,0.44569427
386566,0,0.009255727
469094,0,0.30019283
125657,0,0.59461224
462069,0,0.008269904
617346,0,0.5818138
190555,0,0.2229217
620376,0,0.5095273
480003,0,0.4372318
123241,0,0.009427883
458706,0,0.0061811116
29950,0,0.22031638
153276,0,0.013052955
658723,0,0.33082628
482822,0,0.43953586
118422,0,0.012102738
681984,0,0.45162383
774487,0,0.09217596
694340,0,0.007168747
108679,0,0.008424107
397627,0,0.5034152
504198,0,0.009723085
216276,0,0.008288112
575976,0,0.022194369
121995,0,0.47789198
111618,0,0.017765783
237507,0,0.25514302
179088,0,0.44569427
569344,0,0.177482
527541,0,0.013183618
595260,0,0.005292867
641351,0,0.014384484
772380,0,0.007733855
625050,0,0.4393403
238913,0,0.009788879
317981,0,0.49586335
374538,0,0.009246962
151073,0,0.001990199
201648,0,0.26711577
196359,0,0.25134465
605568,0,0.00076666847
251442,0,0.14125697
617290,0,0.7056358
381838,0,0.008437287
72072,0,0.048022404
448479,0,0.006082975
177276,0,0.005473245
652791,0,0.006588075
188135,0,0.004884072
718651,0,0.0011133516
199,0,0.00058847
745791,0,0.30711973
19699,0,0.6755787
716144,0,0.0041283425
320209,0,0.040358737
587591,0,0.014166969
674450,0,0.4422664
701314,0,0.3974877
272410,0,0.0089592915
374058,0,0.37578678
462995,0,0.0022272195
360548,0,0.010583678
725117,0,0.0042971694
93542,0,0.0023626685
338694,0,0.0049057663
788780,0,0.5485797
640216,0,0.5691209
529293,0,0.016119376
468970,0,0.010603285
497979,0,0.024324626
685445,0,0.012952178
394926,0,0.0041604517
379723,0,0.010468815
587940,0,0.0069851684
140073,0,0.012138094
794357,0,0.0012804405
145860,0,0.1725626
571783,0,0.006710648
666212,0,0.010777856
185378,0,0.0100799715
741778,0,0.0070252507
129734,0,0.19215697
342916,0,0.5021002
317987,0,0.50791085
321806,0,0.2976756
789502,0,0.011227138
713626,0,0.41485608
562506,0,0.20255087
301410,0,0.0020876757
572043,0,0.008155025
431252,0,0.55263793
502285,0,0.52768123
194441,0,0.0017890359
317268,0,0.48711663
408265,0,0.45029807
703238,0,0.0066229124
259214,0,0.18387194
584619,0,0.0016633631
486925,0,0.017571386
419179,0,0.43931818
160869,0,0.15491486
142870,0,0.01179765
660951,0,0.54297376
230310,0,0.57233965
665032,0,0.0030098106
158349,0,0.011439436
417983,0,0.5496413
337602,0,0.38237464
131330,0,0.00033050566
405320,0,0.23323311
292204,0,0.5230247
597205,0,0.16438375
47867,0,0.6302055
595538,0,0.026090011
271734,0,0.5723549
259536,0,0.91094494
785495,0,0.2581018
503640,0,0.5408228
626758,0,0.45684567
194614,0,0.00956332
223896,0,0.17028295
434737,0,0.20950998
35565,0,0.07722842
663493,0,0.5301548
57952,0,0.010062069
607251,0,0.005630941
198292,0,0.5189525
632857,0,0.0012160148
160163,0,0.52700347
397403,0,0.56330085
61430,0,0.14794539
159189,0,0.25430864
738544,0,0.09728463
186387,0,0.05555518
680228,0,0.54905164
131817,0,0.17985682
165223,0,0.6341876
33506,0,0.13554285
768676,0,0.001958656
193309,0,0.53034174
178812,0,0.073674046
668309,0,0.008953941
107654,0,0.008569737
301935,0,0.0030609916
346007,0,0.0025402568
637198,0,0.5355432
46974,0,0.01042275
376139,0,0.011256789
791947,0,0.0054687466
246620,0,0.007351225
672573,0,0.053733036
483306,0,0.29187334
663659,0,0.0028557444
719394,0,0.0076925554
598632,0,0.51927483
121483,0,0.0056802453
690380,0,0.0045807688
666482,0,0.00081139745
463244,0,0.004776056
370926,0,0.0019661344
305883,0,0.0072073834
580382,0,0.010117005
82372,0,0.5422567
603088,0,0.0005449208
349007,0,0.011968308
24768,0,0.23686826
251423,0,0.5783519
433476,0,0.2788822
619810,0,0.52633214
699245,0,0.025405228
621171,0,0.47348398
12146,0,0.10582792
412824,0,0.007162926
594218,0,0.5147288
558602,0,0.45029807
608359,0,0.10984904
263093,0,0.5485797
410278,0,0.48791018
772276,0,0.17408648
680684,0,0.47105807
217173,0,0.01298145
534461,0,0.49387336
774613,0,0.0024633894
269306,0,0.6226798
51813,0,0.47105807
159136,0,0.0003224828
76361,0,0.012320465
471352,0,0.0007218034
703305,0,0.005336245
794346,0,0.0068904953
23144,0,0.0034840412
620876,0,0.01109749
203537,0,0.202346
692746,0,0.006216979
441335,0,0.0042942725
296955,0,0.0067451433
312921,0,0.007754943
372095,0,0.008314117
470956,0,0.0025549456
344608,0,0.020124208
268102,0,0.014972317
434773,0,0.21407703
119229,0,0.012301931
385949,0,0.004308264
475391,0,0.16051641
726822,0,0.0017797855
268143,0,0.47234586
333298,0,0.5064141
612452,0,0.535095
