Original Tweet Index,Actual Value,Predicted Value
167932,0,0.07350123
109464,0,0.025271922
423437,0,0.0045736446
320433,0,0.01843735
37370,0,0.011438657
700031,0,0.062735125
764682,0,0.011413379
185463,0,0.016823165
277739,0,0.029446937
640211,0,0.0498416
707305,0,0.015043262
130566,0,0.024567274
642436,0,0.19658908
612343,0,0.5515355
463839,0,0.108562276
360030,0,0.40297845
236151,0,0.0007524261
501714,0,0.0044513308
325579,0,0.015897894
39933,0,0.42577875
56158,0,0.5341106
471514,0,0.06530358
653127,0,0.04163412
232933,0,0.01143297
644117,0,0.042674597
737080,0,0.0226648
647922,0,0.018938279
103484,0,0.6236416
68235,0,0.020002129
417618,0,0.051733248
348267,0,0.016637705
517695,0,0.047537275
756278,0,0.003914505
571575,0,0.007263785
791408,0,0.030823458
334694,0,0.07841807
356340,0,0.0009855846
243772,0,0.098014876
779188,0,0.028732002
114825,0,0.004096187
286080,0,0.025534365
669878,0,0.0060624145
647885,0,0.010405648
362213,0,0.0014698339
626297,0,0.12328915
655845,0,0.55815375
717844,0,0.023066433
297611,0,0.007285263
103167,0,0.43576592
787716,0,0.16898498
725907,0,0.0258706
632585,0,0.00017086345
705789,0,0.023097875
341305,0,0.016353147
316750,0,0.04010272
104265,0,0.010600981
580476,0,0.7814755
615982,0,0.022856317
746928,0,0.026443556
64893,0,0.03238705
440490,0,0.6268534
433086,0,0.02175712
258213,0,0.008164837
763138,0,0.010592348
529712,0,0.27529442
592766,0,0.033093955
760147,0,0.007002616
61913,0,0.1537107
580245,0,0.8269069
167139,0,0.39061594
477784,0,0.007189236
88106,0,0.036683623
520059,0,0.4717756
196039,0,0.045692988
457821,0,0.023105292
213919,0,0.026483055
181982,0,0.5681275
270605,0,0.6268534
327331,0,0.00219804
292923,0,0.028054819
183344,0,0.008365742
114941,0,0.076518446
272252,0,0.5220831
285386,0,0.001536213
672135,0,0.017228192
5288,0,0.2086232
183431,0,0.013530959
308685,0,0.59769595
572321,0,0.51488996
74085,0,0.013238573
169417,0,0.5364212
383076,0,0.010441833
731823,0,0.003398712
394861,0,0.48569885
394635,0,0.031978786
150028,0,0.009096931
745643,0,0.5449677
613318,0,0.03984584
205974,0,0.056969155
385349,0,0.46195817
340029,0,0.09163742
356444,0,0.56353414
442107,0,0.064706564
221950,0,0.039560657
339563,0,0.041142832
568906,0,0.040636048
336125,0,0.0115998285
641693,0,0.57875794
728449,0,0.5364212
367108,0,0.051256567
241665,0,0.024122976
754658,0,0.348206
351390,0,0.003109596
402604,0,0.49582145
527319,0,0.5540167
9654,0,0.018648822
395962,0,0.72167957
155203,0,0.05289095
383931,0,0.00776591
491460,0,0.011382904
753734,0,0.00021166287
616926,0,0.045253806
275508,0,0.002861951
10477,0,0.00080007524
654499,0,0.011213434
577165,0,0.045180924
454610,0,0.045538653
468104,0,0.00047798207
651801,0,0.020546658
85327,0,0.025297748
766360,0,0.019735096
359629,0,0.030558527
253498,0,0.0332772
300487,0,0.3051067
489236,0,0.0012241534
361168,0,0.027038494
37747,0,0.0041852132
525402,0,0.03640274
223635,0,0.53589594
69526,0,0.59632266
566592,0,0.1608289
785465,0,0.039637364
297221,0,0.5442946
615855,0,0.12530005
579488,0,0.037280068
157033,0,0.039210986
667045,0,0.005302245
515009,0,0.019325782
204164,0,0.03451665
733452,0,0.040863015
247551,0,0.010442877
439316,0,0.4129118
581583,0,0.023478135
268929,0,0.004880558
286362,0,0.026581947
764524,0,0.063435495
380802,0,0.010628766
526217,0,0.5341106
608023,0,0.03013444
574898,0,0.58641607
582217,0,0.011690236
7492,0,0.0047189863
602362,0,0.52428705
538056,0,0.0015067194
115541,0,0.0045456104
455355,0,0.009283009
434504,0,0.019306617
170627,0,0.018821934
643573,0,0.34467825
775920,0,0.0042441525
316014,0,0.622805
49053,0,0.027063066
755018,0,0.09219465
44025,0,0.58329535
171117,0,0.3538581
766789,0,0.0016142544
399437,0,0.043249
229050,0,0.057728477
603186,0,0.04965408
656734,0,0.0043872204
328980,0,0.04616624
740299,0,0.024849884
47401,0,0.017849054
398767,0,0.021262439
52335,0,0.13591743
341126,0,0.022149647
151805,0,0.024559753
208662,0,0.00090266793
163460,0,0.021063969
496801,0,0.5060916
686557,0,0.46684852
657511,0,0.01989784
228894,0,0.0065784804
221097,0,0.045149345
194247,0,0.017688904
337365,0,0.08375931
58757,0,0.01022415
81373,0,0.06846281
47136,0,0.034104273
531948,0,0.0040088356
506660,0,0.0018068987
508219,0,0.021545134
314918,0,0.031750973
308052,0,0.0038653384
231624,0,0.005680764
144622,0,0.012477218
570626,0,0.036331624
603290,0,0.0040090824
203805,0,0.010725634
425562,0,0.024136113
178638,0,0.46684852
724558,0,0.025122
773133,0,0.02724793
643281,0,0.010862312
511822,0,0.55815375
663669,0,0.012755159
748599,0,0.045032643
612658,0,0.004493402
203181,0,0.023954459
698508,0,0.03547021
9083,0,0.0050479104
756139,0,0.054912865
261611,0,0.20154604
486929,0,0.016291035
399962,0,0.18546966
131908,0,0.005060864
394694,0,0.03967613
416822,0,0.012335358
408564,0,0.4960175
114286,0,0.016232518
227478,0,0.014114767
409889,0,0.6268534
646989,0,0.58411705
372118,0,0.0026776593
365043,0,0.30255276
100829,0,0.032349743
745024,0,0.01642776
104298,0,0.33691013
430011,0,0.010853173
354370,0,0.014610913
389957,0,0.018985556
389516,0,0.0060902084
508396,0,0.4960175
53308,0,0.042203553
561393,0,0.027286373
731330,0,0.0019552193
488051,0,0.04732974
437002,0,0.07717421
316113,0,0.42161524
382054,0,0.023562234
164119,0,0.2378698
611731,0,0.0058269138
81687,0,0.04048543
435941,0,0.035280056
573941,0,0.1140479
723618,0,0.7681278
10362,0,0.024457326
561271,0,0.035691462
649502,0,0.5324798
686106,0,0.5379578
556813,0,0.015719423
39890,0,0.75619894
288984,0,0.019879749
132345,0,0.0209854
679562,0,0.0025178287
777711,0,0.02809559
459483,0,0.51817137
787015,0,0.041925106
401690,0,0.35431826
120443,0,0.007410347
636906,0,0.33173138
344166,0,0.028325778
75315,0,0.5016439
128288,0,0.051972654
644439,0,0.033980012
264198,0,0.039079234
306281,0,0.52604127
788819,0,0.06620084
512190,0,0.58329535
669853,0,0.5214664
131807,0,0.018171035
200739,0,0.058817953
541011,0,0.082338445
366946,0,0.029546013
316238,0,0.36031812
328158,0,0.08428618
583388,0,0.16474883
334316,0,0.009650909
503098,0,0.029215503
430221,0,0.018998476
83821,0,0.46057755
455368,0,0.5307535
360917,0,0.67083555
169693,0,0.019427389
575698,0,0.021942534
65123,0,0.0009127775
131378,0,0.028438795
528119,0,0.5179992
55581,0,0.027648194
515343,0,0.5341106
570459,0,0.023292687
123765,0,0.0026909462
185983,0,0.037745845
668546,0,0.5049132
332662,0,0.011467408
196341,0,0.010072732
524159,0,0.029845428
187823,0,0.0013275516
338613,0,0.032643743
257960,0,0.025213001
396433,0,0.73955333
454508,0,0.0135435695
479861,0,0.46304783
272524,0,0.011525189
685449,0,0.0123414155
684582,0,0.057133686
146951,0,0.04768959
455056,0,0.008869856
183839,0,0.026252013
705933,0,0.58329535
403037,0,0.0006603909
668780,0,0.009236441
457275,0,0.049688365
611754,0,0.41065657
691539,0,0.00979123
348008,0,0.070618674
616290,0,0.026803821
125333,0,0.022734407
715561,0,0.07641269
553279,0,0.014741883
751538,0,0.019233162
256782,0,0.05979708
222366,0,0.0050654127
404872,0,0.018952928
276182,0,0.11798243
190399,0,0.0017781096
291724,0,0.55066836
375795,0,0.013435605
34543,0,0.0028647217
10512,0,0.016760916
621585,0,0.019608822
727519,0,0.03627127
563550,0,0.1429433
359492,0,0.5728321
152504,0,0.042671256
2869,0,0.020788316
287964,0,0.1139922
552723,0,0.5341106
744880,0,0.020507272
791463,0,0.053509057
343774,0,0.034587506
75445,0,0.026030617
74379,0,0.001922905
555866,0,0.0012342299
28510,0,0.008667611
102576,0,0.02053374
486616,0,0.008674492
182169,0,0.007555041
398285,0,0.5354223
541822,0,0.075692706
750117,0,0.09445051
113452,0,0.019776842
584311,0,0.00923608
252995,0,9.637413e-06
416525,0,0.021430206
795270,0,0.5807917
476003,0,0.06560859
489212,0,0.030436045
359814,0,0.011111498
609928,0,0.62187696
98250,0,0.004375608
722712,0,0.0037891066
552283,0,0.01729677
454983,0,0.48922724
285583,0,0.6686939
431915,0,0.025098516
404608,0,0.013185706
2861,0,0.015061534
763208,0,0.44582638
277453,0,0.039767995
765857,0,0.18540214
242281,0,0.34097403
336975,0,0.10813269
687998,0,0.02586625
295544,0,0.53037965
191908,0,0.005497162
500312,0,0.72499853
383721,0,0.029948398
603894,0,0.013033461
198318,0,0.02863718
115197,0,0.0027697454
253732,0,0.036679618
774178,0,0.0603435
424063,0,0.010407874
699185,0,0.036024984
694433,0,0.023439758
168796,0,0.015117375
451311,0,0.022030111
623590,0,0.0042110556
298323,0,0.0010639289
636305,0,0.005430071
407050,0,0.008546794
128310,0,0.42200047
707444,0,0.0097483145
30138,0,0.49930358
517131,0,0.0159848
170550,0,0.006541171
46199,0,0.025203297
748243,0,0.004762365
638974,0,0.014292714
759251,0,0.55815375
394248,0,0.011992632
445109,0,0.8654085
621647,0,0.029792594
738625,0,0.04465541
453898,0,0.018182505
228286,0,0.059929512
444748,0,0.0015582251
338630,0,0.009344532
771220,0,0.5919331
738251,0,0.035675246
553077,0,0.47732288
278502,0,0.06036278
290013,0,0.06052604
302170,0,0.03356916
557478,0,0.49577838
487848,0,0.104368314
705239,0,0.4579419
507586,0,0.005188545
346650,0,0.034521773
76633,0,0.3421144
376603,0,0.031628378
150830,0,0.014114767
584207,0,0.047346707
172781,0,0.013414216
202380,0,0.5510199
259626,0,0.53068525
456357,0,0.03284802
674837,0,0.07100183
698034,0,0.02257479
495572,0,0.015886579
333507,0,0.10724789
155311,0,0.5967512
537042,0,0.008678832
404826,0,0.006867059
392461,0,0.3617704
783954,0,0.14485487
572260,0,0.41492027
721038,0,0.020496216
712040,0,0.015114682
173266,0,0.53746855
250912,0,0.010628688
406406,0,0.006233264
624205,0,0.053434454
352455,0,0.017474765
