Original Tweet Index,Actual Value,Predicted Value
371216,1,0.9800401
614914,1,1.0506815
118321,1,1.0876884
472571,1,1.8877391
190241,1,1.1265782
397516,1,1.1101669
545509,1,0.97541416
354740,1,1.2687904
199462,1,1.5521381
288266,1,1.2023932
192461,1,1.036089
388750,1,1.1528927
243290,1,1.0122058
704457,1,0.9776155
136373,1,1.0410427
282234,1,0.8863537
153972,1,0.95358235
726696,1,1.0487391
497591,1,0.9777671
785787,1,1.0569174
644131,1,0.97911495
292938,1,1.0924275
694803,1,0.79283416
624528,1,0.91978127
442884,1,1.0428046
512397,1,1.0217006
535130,1,1.0114288
57633,1,1.0161358
675153,1,1.0492171
503650,1,0.9878615
131465,1,1.9253479
431189,1,1.0631479
160638,1,1.8583251
124618,1,0.97570384
452425,1,1.1187065
433912,1,1.092198
247250,1,1.083344
133051,1,1.1091808
584093,1,1.1342423
252229,1,1.1615791
537783,1,1.0021716
46135,1,1.0388528
419072,1,0.8576095
628455,1,1.070306
376647,1,0.97485
770170,1,0.9800806
790848,1,0.85965484
754859,1,1.1755606
581882,1,0.94339234
69170,1,1.1881096
420956,1,0.99474645
346880,1,0.9705762
127662,1,1.0517238
93671,1,1.2330045
308716,1,0.9961234
131877,1,1.1549491
268442,1,1.0436616
669606,1,1.0955946
167560,1,0.867504
183469,1,0.9892821
477216,1,0.9789139
49481,1,1.0039006
230363,1,1.0913354
9102,1,1.0555422
168679,1,1.1368221
768022,1,0.8361047
320019,1,1.1296976
226971,1,0.928308
129838,1,1.1234674
211680,1,0.95689136
330428,1,0.9918003
259885,1,1.2715482
668114,1,0.9475696
937,1,1.0041554
249042,1,1.0332998
556906,1,0.9994034
714849,1,1.0738028
86702,1,1.264559
214500,1,1.080617
343910,1,0.94938016
381941,1,1.0431074
503411,1,0.9939736
390525,1,1.048467
597980,1,1.0476128
167735,1,0.9344375
769995,1,1.583965
459195,1,0.91723496
48842,1,1.0118916
780510,1,1.0873334
571694,1,1.8729352
789236,1,0.99845654
88025,1,0.9220066
321069,1,1.0708274
62543,1,1.0066354
758144,1,1.1454389
790766,1,1.0420145
20539,1,1.0232874
364106,1,0.93457097
27104,1,0.93982077
506834,1,1.0513377
81434,1,1.0232874
25876,1,1.1077875
168135,1,0.92240447
425272,1,1.8877391
197795,1,1.1423587
747059,1,0.941455
127754,1,1.1268814
637596,1,0.9761297
662171,1,0.961505
742203,1,1.046834
485750,1,1.0750419
605444,1,1.000816
470248,1,1.093252
510156,1,0.9497693
46004,1,0.8748954
328228,1,0.965884
748019,1,1.8729352
184083,1,1.0726418
562834,1,0.8815737
581858,1,1.2015774
232499,1,1.0545973
3565,1,0.84103847
796864,1,0.9415696
582926,1,1.0990704
242709,1,1.8729352
215883,1,0.95302457
434224,1,0.9862782
650608,1,1.848184
281800,1,0.9898988
95800,1,0.99481946
93136,1,0.9331345
292204,1,1.0217952
8595,1,0.991223
244299,1,0.9706753
404798,1,0.9870602
780369,1,1.1549491
539379,1,0.9740138
586519,1,1.0618532
109996,1,1.0563388
568842,1,1.1052212
665401,1,1.0647982
76243,1,1.0252464
195620,1,1.0913578
664719,1,1.1289015
88691,1,0.8941138
551239,1,1.056045
472644,1,1.0067253
531448,1,0.9317915
119649,1,1.0183295
642582,1,1.0909874
499613,1,0.900011
