Original Tweet Index,Actual Value,Predicted Value
661633,1,0.9723047
427082,1,1.0031351
660137,1,0.97052467
356593,1,1.0027096
17171,1,1.0116957
195741,1,0.9967844
469386,1,1.0051122
545735,1,1.0256462
1837,1,0.98465836
299343,1,1.9590805
522405,1,1.134863
74341,1,1.0006131
111417,1,1.0072795
102270,1,0.99396706
132129,1,0.98334605
616624,1,0.9974435
400940,1,1.0271028
322350,1,0.99569
332356,1,0.9967513
498699,1,1.0500147
334058,1,0.9850331
710053,1,0.98442847
157234,1,0.9946352
776206,1,1.0148419
20933,1,1.0081699
130273,1,0.9883392
727946,1,1.0762866
658386,1,2.0237324
286249,1,2.008347
458282,1,0.97910285
372876,1,0.97576815
479465,1,1.0326542
688885,1,0.99375916
741090,1,1.0125915
238321,1,1.015919
396579,1,2.0193818
429590,1,1.0223465
671198,1,1.0104816
409731,1,1.0261817
15510,1,1.0042266
373006,1,2.0236182
96619,1,1.0149567
792481,1,1.0130765
631603,1,0.97691834
464791,1,0.9896258
128440,1,1.0493519
66408,1,0.98843706
654119,1,1.3223083
598326,1,2.0536804
585478,1,0.9752673
229569,1,0.9971242
661650,1,1.0011725
80173,1,2.000866
225353,1,0.99568516
705942,1,0.9965589
713289,1,0.9938922
669018,1,1.0141133
523660,1,1.3379602
195939,1,0.99752545
274335,1,1.0138942
220595,1,1.036421
480484,1,0.99933773
747939,1,1.8195558
131952,1,2.043282
419458,1,1.9817144
125543,1,1.9796996
302840,1,0.9778696
682688,1,0.99014235
436448,1,0.9952109
360622,1,0.99058765
704813,1,1.001514
66246,1,0.9895776
312357,1,0.9959268
400008,1,0.9918398
613481,1,1.5320675
618984,1,2.0156636
144432,1,0.9880156
581135,1,0.98591983
287710,1,0.99915886
506819,1,0.9979799
398915,1,0.9955131
735108,1,1.0055925
49035,1,1.0015674
742085,1,1.0224261
795150,1,1.9773303
190456,1,0.99834543
497955,1,1.0015469
260870,1,0.996572
669337,1,1.0015646
594843,1,0.98165995
254481,1,0.9913612
261049,1,1.0635084
594857,1,0.97586334
668545,1,0.9751899
763480,1,0.9873738
310304,1,1.0050011
10657,1,1.0018587
612362,1,0.9939624
388358,1,2.0199199
418006,1,2.032069
684221,1,0.9985489
209634,1,0.9886944
565422,1,0.97910315
727302,1,1.9788798
686964,1,1.9818416
205362,1,1.9882351
391429,1,0.99645734
34261,1,0.9826756
350054,1,0.9940734
774542,1,1.0037397
286368,1,0.99459183
448717,1,1.9347011
23234,1,0.98816895
536240,1,1.0189271
91805,1,0.98481405
412782,1,1.0008664
484605,1,1.0023884
778375,1,2.0482123
549969,1,0.9924232
80455,1,1.0091072
163845,1,0.9836658
486936,1,1.0095713
758970,1,0.99310505
156832,1,1.9788798
396916,1,1.9818304
254975,1,1.0005776
42776,1,1.9909066
521864,1,1.0137321
11535,1,2.0035114
142895,1,1.3576672
463559,1,1.0090256
535900,1,1.9804591
512906,1,1.9839864
486213,1,0.9901636
460343,1,1.0000801
233065,1,1.011266
133196,1,2.0310888
562426,1,1.9843313
789595,1,1.0086862
63529,1,1.0093803
36764,1,0.9891917
101286,1,1.9818416
640804,1,0.9993164
82326,1,0.9923269
275219,1,0.998567
573339,1,0.95643806
45971,1,0.99929726
274698,1,0.9980308
725603,1,0.97216797
40230,1,0.9919793
742435,1,0.99595296
273084,1,0.99693835
119989,1,1.9818416
353470,1,1.0129706
719770,1,1.0122806
788673,1,0.99497736
565734,1,1.0075052
311453,1,1.0180323
614636,1,1.0253365
44535,1,1.993597
354644,1,1.0185182
151229,1,0.97337276
166096,1,1.8241806
164242,1,1.0156283
443597,1,1.9988859
115544,1,1.9710026
786857,1,0.9787033
603266,1,1.0029933
690606,1,0.9916079
729886,1,0.9775603
655780,1,0.9925568
368205,1,1.0045238
616973,1,0.98823404
640175,1,0.9988697
413234,1,1.8030636
555670,1,1.0064399
222089,1,1.9788798
692995,1,0.9895676
112490,1,2.028851
49842,1,0.99213076
576853,1,1.0082719
337974,1,0.97024614
772542,1,1.9568677
729109,1,2.040522
268086,1,0.98605263
729125,1,0.97951376
739004,1,2.004167
770651,1,0.9798932
413445,1,0.9925528
21565,1,0.9756815
193559,1,0.9844912
418932,1,1.0044042
241294,1,1.0034214
237732,1,2.0122452
659597,1,0.9953708
509112,1,1.0050431
591161,1,1.0265087
618418,1,1.9694767
436346,1,0.99135804
574938,1,0.98939395
522125,1,0.9852689
709676,1,0.9913709
720748,1,1.0010402
5322,1,1.0055959
286725,1,1.9839864
190625,1,1.0039989
778342,1,0.99661434
547858,1,0.9847379
795147,1,0.98770386
436334,1,0.978398
694785,1,0.97654665
753026,1,0.99459505
552921,1,1.993597
229109,1,1.97046
39290,1,1.016861
359843,1,0.9951992
791279,1,1.0112721
395971,1,1.0126973
279232,1,1.0018842
526467,1,1.0024692
590761,1,1.0068753
669526,1,0.99880874
230053,1,0.9895407
530588,1,0.99064136
485123,1,1.0119739
337366,1,1.033336
562929,1,1.0070333
434421,1,0.97939014
159147,1,0.9912646
511490,1,0.9927862
222352,1,0.97570956
180007,1,1.9756749
579997,1,1.9839864
206128,1,0.9974379
460021,1,1.362213
182007,1,1.0099739
610684,1,1.0159806
502678,1,2.0421286
504532,1,1.9643205
335963,1,1.0055066
717831,1,1.9874719
739530,1,1.0063028
355359,1,0.9992836
385969,1,0.98543346
544856,1,1.0186898
79330,1,1.0063702
591436,1,2.0208251
378682,1,1.9347011
351535,1,0.99284804
706224,1,0.9798105
575868,1,0.9791204
743410,1,0.9707356
21669,1,0.9803991
37971,1,0.98302704
370044,1,1.7666289
169573,1,1.0077158
160075,1,1.9818416
146809,1,1.0831461
552075,1,2.0173604
684595,1,2.0437002
533234,1,0.9796381
793709,1,1.0118285
216693,1,0.9888998
543755,1,0.99498385
13671,1,0.9747652
237529,1,0.9925026
53892,1,1.9624772
375365,1,0.98461664
104616,1,0.9933805
264239,1,0.97579455
536188,1,0.9859489
611628,1,1.0066984
493109,1,0.9715597
229712,1,1.9695727
641384,1,1.0141902
602789,1,1.0053179
651215,1,1.9615597
380002,1,0.9968909
329333,1,2.0086465
217773,1,1.0067637
614374,1,0.97564566
498711,1,0.9977408
482174,1,1.0012258
408965,1,1.0052985
569709,1,0.9863091
729320,1,1.0337305
50197,1,1.9662759
625663,1,0.98576134
87228,1,0.99527735
745097,1,1.9788798
278477,1,0.9813114
78701,1,1.8275421
248488,1,0.9514212
229732,1,0.9940845
165151,1,0.985063
255637,1,1.0004072
91319,1,0.98613024
373396,1,0.98577523
10782,1,2.0561278
506449,1,1.0025111
688491,1,0.99895805
258259,1,1.0070944
73500,1,0.9888001
276285,1,1.9801203
780591,1,0.99638104
599432,1,1.0036541
149173,1,2.0161998
737308,1,1.0408441
667398,1,0.9914218
84948,1,0.987257
797854,1,0.99290884
591358,1,0.9925187
497548,1,0.9929633
606928,1,1.0008159
417384,1,0.9866248
336332,1,1.9774815
702588,1,0.99524355
296364,1,0.97560185
287574,1,1.0268394
56239,1,0.9772309
789330,1,1.0253457
764437,1,0.9987773
388385,1,1.1793267
712411,1,1.0209792
