Original Tweet Index,Actual Value,Predicted Value
436089,0,0.5850066
226124,0,0.29725242
93170,0,0.0053221276
147887,0,0.53581834
575772,0,0.4067673
682538,0,0.61402214
725774,0,0.068018496
442469,0,0.01063365
70820,0,0.0094443485
190009,0,0.39760083
320877,0,0.047204196
531519,0,0.5310786
737905,0,0.0036171908
781616,0,0.010884137
707649,0,0.4053492
95804,0,0.025475489
173448,0,0.23623572
497504,0,0.0070931795
143645,0,0.0021807062
426568,0,0.016669922
533673,0,0.022761073
335240,0,0.26376215
435850,0,0.64912534
138252,0,0.0010758997
663494,0,0.55636287
403170,0,0.015160873
689635,0,0.13435312
97947,0,0.12440899
322441,0,0.019542437
388430,0,0.27683657
576547,0,0.0035941016
469369,0,0.5337318
102037,0,0.16290908
676286,0,0.006653151
216343,0,0.12340413
576674,0,0.6340224
399282,0,0.001940203
710028,0,0.0034288408
280538,0,0.009694186
560123,0,0.017270865
16901,0,0.014774088
436067,0,0.0043782163
263181,0,0.0030478898
625670,0,0.0039174734
115044,0,0.568172
506870,0,0.6462112
97588,0,0.009184979
222132,0,0.32332087
281611,0,0.007473723
121287,0,0.334808
577222,0,0.59641117
615342,0,0.010297254
206366,0,0.009650087
310987,0,0.0032616174
639097,0,0.02906533
579568,0,0.018130623
561597,0,0.37118548
311146,0,0.033592552
797663,0,0.005099595
62806,0,0.5610025
146579,0,0.07317556
91161,0,0.01545753
608631,0,0.5538311
717311,0,0.4593044
636311,0,0.45605534
214799,0,0.009012893
228663,0,0.021856746
552724,0,0.025519008
516916,0,0.34751
199600,0,0.01133307
256504,0,0.70207876
27936,0,0.000764612
159728,0,0.065238036
731282,0,0.0013051641
401184,0,0.06978682
580012,0,0.0017598862
565751,0,0.016762972
53020,0,0.6584769
703409,0,0.26948243
264415,0,0.0066207843
193159,0,0.26679176
585135,0,0.35406518
330206,0,0.23927401
329290,0,0.41288018
161904,0,0.47327745
194714,0,0.48022717
291958,0,0.009450684
165745,0,0.13439512
648443,0,0.026001234
481102,0,0.6502638
799145,0,0.0007900491
706581,0,0.5438906
321315,0,0.020170996
796587,0,0.018566253
534454,0,0.6584769
216469,0,0.5560473
741307,0,0.0026823692
531554,0,0.5946617
642374,0,0.016565096
640002,0,0.17274839
129874,0,0.0128644025
458122,0,0.035983033
529148,0,0.009311692
544720,0,0.4929601
74825,0,0.4131356
592425,0,0.00949909
199601,0,0.015809312
