predicted,actual
Epochs: 500
1.0152305,1
0.0,0
1.0152305,1
4.3017426,4
0.0,0
0.0,0
7.128144,7
2.9476507,3
5.0948687,5
3.0483632,3
7.9670486,8
8.76013,9
1.0152305,1
3.1934,3
2.823831,3
1.0152305,1
1.9817631,2
0.0,0
6.7639694,7
5.218407,5
8.297207,8
5.936347,6
2.017996,2
0.0,0
1.9988239,2
2.8894572,3
6.3344626,6
8.569286,9
9.018491,9
7.173758,7
8.147009,8
8.853959,9
3.9170723,4
9.051393,9
1.8323424,2
1.0152305,1
3.0693812,3
1.0152305,1
1.0152305,1
4.0999703,4
9.217504,9
1.0152305,1
3.864306,4
3.6931086,4
1.8414228,2
6.2855225,6
3.07899,3
6.9493256,7
6.9680557,7
4.153296,4
6.9007535,7
4.921124,5
1.0152305,1
9.216835,9
0.0,0
2.0226493,2
1.9597243,2
2.9903672,3
8.967757,9
1.0152305,1
1.0152305,1
1.0152305,1
5.155977,5
0.0,0
6.4413667,6
3.1349955,3
3.937087,4
8.272832,8
1.0152305,1
0.0,0
3.1393223,3
8.890946,9
6.2745256,6
2.114119,2
6.125345,6
4.044483,4
7.05359,7
1.0152305,1
4.0445,4
1.0152305,1
5.197665,5
4.0599637,4
8.061602,8
8.942975,9
2.3417165,2
8.737086,9
8.701246,9
7.7291512,8
8.924253,9
6.166461,6
3.6420217,3
6.144672,6
4.230929,4
6.1711144,6
2.0428076,2
9.028705,9
1.0152305,1
1.9294386,2
0.0,0
4.9640594,5
9.049259,9
1.9477869,2
7.0196466,7
7.115831,7
2.4891677,2
7.9644427,8
8.163082,8
5.009091,5
0.0,0
6.3371034,6
0.0,0
0.0,0
2.0817275,2
9.109309,9
0.0,0
4.114568,4
7.2798285,7
7.164354,7
1.0152305,1
5.1754684,5
7.1361895,7
8.991484,9
4.1272287,4
6.1150374,6
1.0152305,1
4.8572774,5
6.940212,7
6.087563,6
4.8812237,5
0.0,0
4.031258,4
7.83596,8
6.993562,7
6.0302334,6
1.0152305,1
8.331697,8
6.692824,7
2.8772259,3
7.182652,7
3.0336504,3
1.0152305,1
0.0,0
2.9697185,3
4.0173993,4
5.0390573,5
4.1812935,4
0.0,0
5.0394425,5
3.9119115,4
0.0,0
2.8491623,3
5.0511885,5
1.0152305,1
0.0,0
7.9765196,8
3.2322245,3
7.1435084,7
0.0,0
8.96411,9
6.204472,6
6.1606936,6
8.952884,9
5.186571,5
3.8190627,4
5.8901567,6
9.100615,9
2.835003,3
5.0891953,5
4.2502584,4
1.9972532,2
4.061331,4
8.259593,8
7.252435,7
7.017322,7
5.1662164,5
8.164174,8
8.189301,8
7.858004,8
2.1315823,2
6.1765766,6
8.922578,9
2.9976096,3
1.0152305,1
0.0,0
4.088539,4
1.0152305,1
4.4092364,5
8.753936,9
0.0,0
6.4498115,6
2.273921,2
1.0455786,1
2.7693353,3
0.0,0
6.2038474,6
0.0,0
0.0,0
8.597126,8
2.8894954,3
2.0682535,2
0.0,0
0.0,0
6.2186503,6
0.0,0
0.0,0
3.9188771,4
6.841453,7
2.1920543,2
6.7775083,7
1.0152305,1
8.736354,9
8.985203,9
2.7818751,3
9.13301,9
8.220755,8
4.0479736,4
6.1404734,6
6.1221185,6
4.9838347,5
3.0713334,3
8.097819,8
1.0152305,1
8.402161,8
7.144859,7
1.0152305,1
3.0369759,3
7.019363,7
6.251668,6
2.963067,3
6.3309603,6
3.3694086,3
6.211585,6
3.0760355,3
2.042006,2
2.9546027,3
1.9182699,2
2.0283103,2
6.990833,7
8.975746,9
2.02689,2
2.7286136,3
1.9690357,2
6.8818583,7
5.0590367,5
5.236894,5
7.8692737,8
8.027746,8
2.0149393,2
0.0,0
1.0152305,1
4.197477,4
0.0,0
6.279334,6
2.7410924,3
6.924249,7
1.0152305,1
1.0152305,1
1.0152305,1
4.052528,4
7.082495,7
0.0,0
2.0205579,2
8.665206,9
2.1273224,2
0.0,0
4.949932,5
6.178383,6
0.0,0
8.079973,8
9.227288,9
6.044453,6
2.4388986,2
0.0,0
0.0,0
7.006467,7
2.0478609,2
0.0,0
3.9586353,4
1.8755411,2
0.0,0
8.870314,9
1.0152305,1
6.278967,6
8.900624,9
3.006944,3
0.0,0
0.0,0
2.2208543,2
0.0,0
6.006049,6
8.112962,8
4.2060537,4
0.0,0
6.9521055,7
2.011054,2
1.0152305,1
9.000559,9
4.954332,5
2.1039462,2
3.932455,4
8.323023,8
5.032807,5
1.9875007,2
8.6019745,9
6.9256215,7
9.442675,9
2.3138974,2
8.6878,9
6.8041224,7
4.063512,4
9.163886,9
3.1948395,3
2.1226373,2
7.1193914,7
2.7710218,3
6.371163,6
3.2176142,3
6.0819316,6
8.008917,8
7.901791,8
2.9891186,3
6.7569757,7
0.0,0
8.865459,9
1.972608,2
7.149078,7
9.027187,9
0.0,0
5.112923,5
3.887333,4
5.0555043,5
7.822116,8
3.9699078,4
2.9438987,3
3.0441523,3
1.0152305,1
6.9740877,7
7.906344,8
9.171968,9
6.571029,7
6.1446733,6
2.0904305,2
1.0152305,1
7.0200443,7
0.0,0
5.0939116,5
6.3027177,6
4.369903,5
2.086799,2
8.946522,9
5.2886653,5
4.046176,4
6.0605435,6
2.0666666,2
1.9600846,2
2.093913,2
8.96772,9
0.0,0
7.240336,7
6.7580166,7
2.4008324,2
2.057127,2
5.6477213,6
3.0312686,3
4.152417,4
2.0378966,2
0.0,0
5.003587,5
8.990636,9
6.252411,6
2.0181522,2
1.0152305,1
8.735548,9
0.0,0
6.175398,6
0.0,0
4.0462947,4
8.077672,8
3.9745784,4
2.9689236,3
1.0152305,1
5.0200887,5
4.01929,4
2.0670538,2
8.704004,9
4.627713,5
7.0476637,7
3.0604267,3
1.0152305,1
5.1851754,5
4.16456,4
5.189932,5
3.2015057,3
6.9421425,7
3.0886989,3
8.399297,8
6.1639857,6
1.0152305,2
4.2117863,4
6.0541363,6
1.0152305,1
1.0152305,1
4.0556035,4
0.0,0
0.0,0
5.176058,5
8.281187,8
6.266133,6
6.858194,7
4.0655847,4
1.9312427,2
8.115603,8
0.0,0
2.1254485,2
4.9116483,5
4.0257955,4
8.183067,8
2.791459,3
0.0,0
6.1450796,6
4.1399903,4
8.083786,8
6.032781,6
4.3140626,4
1.0152305,1
8.141654,8
1.0152305,1
4.9249578,5
4.1324615,4
9.1324835,9
4.2030315,4
3.0944657,3
2.0331836,2
0.0,0
5.119431,5
0.0,0
6.9162,7
8.979335,9
2.212935,2
8.8589115,9
8.167269,8
9.243443,9
6.318273,6
4.8570104,5
2.0589871,2
4.172049,4
3.928101,4
6.0724697,6
4.0365276,4
8.45204,8
3.9799695,4
1.0152305,1
7.1337085,7
5.2826037,5
8.008807,8
8.9577675,9
5.1518908,5
9.110134,9
2.9627922,3
1.9029856,2
5.33799,5
8.357515,8
2.0959835,2
1.8755515,2
7.1393485,7
1.8692745,2
8.123692,8
4.284808,4
1.0152305,1
8.934945,9
2.8946884,3
6.1263666,6
0.0,0
2.0767703,2
2.167232,2
9.084234,9
1.0152305,1
1.9719381,2
6.955833,7
1.9789308,2
1.0152305,1
3.0258331,3
4.094413,4
8.91389,9
1.0152305,1
8.198484,8
0.0,0
2.0017707,2
2.0440981,2
2.8645272,3
4.3109107,4
1.0152305,1
2.878422,3
6.820631,7
3.998773,4
1.0152305,1
4.001149,4
1.0152305,1
4.8808713,5
9.460727,9
6.4379754,6
9.070593,9
0.0,0
5.0033526,5
6.948787,7
6.1183114,6
8.030788,8
2.1939464,2
0.0,0
7.015869,7
3.103804,3
5.167661,5
8.475962,8
2.1049297,2
8.547822,8
1.9822772,2
4.3526616,4
7.955725,8
4.9053674,5
8.456145,8
9.098136,9
7.0816784,7
1.0152305,1
2.2104287,2
4.0982156,4
5.150585,5
5.1179123,5
1.0152305,1
8.125283,8
1.0152305,1
4.1897388,4
4.1122475,4
6.2125688,6
5.1930923,5
8.30692,8
9.02601,9
2.0955777,2
3.1299906,3
0.0,0
4.9786654,5
1.0152305,1
4.1386147,4
0.0,0
5.1609087,5
1.0152305,1
2.0313315,2
8.706024,9
1.9694978,2
3.8624892,4
1.0152305,1
6.2637153,6
8.144202,8
0.0,0
4.1775246,4
8.909736,9
0.0,0
0.0,0
4.8518333,5
8.843345,9
2.2204213,2
3.001069,3
5.3529425,5
8.693124,9
4.1579514,4
4.0480556,4
3.299315,3
9.082445,9
2.0578008,2
2.9262998,3
5.206995,5
5.8903832,6
5.1447077,5
2.2782927,2
7.412617,7
2.019046,2
4.1994715,4
2.7761173,2
4.0880876,4
7.109132,7
2.0152254,2
5.0256276,5
3.1124024,3
6.949343,7
5.980427,6
1.0152305,1
0.0,0
6.7308617,7
5.1060934,5
4.2389183,4
5.2112617,5
