Ticker,Size
aiz,1972
t,1972
ato,1972
adsk,7575
adp,7574
azo,1972
avb,1972
avy,1972
bkr,7574
ball,1972
bac,1972
bk,1972
bbwi,213
bax,1972
bdx,1972
bby,1972
biib,7336
bio,1972
tech,7340
blk,1972
ba,1972
bkng,4774
bwa,1972
bxp,1972
bsx,1972
bmy,1972
avgo,3222
br,1972
chrw,4184
cdns,7338
czr,1933
cpb,1972
cof,1972
cah,1972
kmx,1972
ccl,1972
carr,550
cat,1972
cbre,1972
cdw,2244
ce,1972
cnc,1972
cnp,1972
ctra,1972
cern,7339
cf,1972
crl,1972
schw,1972
chtr,1516
cvx,1972
cmg,1972
cb,1957
chd,1972
ci,1972
cinf,7338
ctas,7339
csco,7339
c,1972
cfg,1931
ctxs,6661
clx,1972
cme,4900
cms,1972
ko,1972
ctsh,6024
cl,1972
cmcsa,7577
cma,1972
cag,1972
cop,1972
ed,1972
stz,1972
coo,1972
cprt,7099
glw,1972
ctva,757
cost,7194
cci,1872
csx,7574
cmi,1972
cvs,1972
dhi,1972
dri,1972
dva,1972
de,1972
dal,1972
xray,7291
dvn,1972
dxcm,4308
fang,2419
dlr,1972
dfs,1972
dish,6772
dg,1972
dltr,6854
d,1972
dpz,1972
dov,1972
dow,803
duk,1972
dre,1972
dd,1190
dxc,1303
emn,1972
etn,1972
ebay,5957
ecl,1972
eix,1972
ew,1972
ea,7339
lly,1972
emr,1972
enph,2555
etr,1972
eog,1972
efx,1972
eqix,1847
eqr,1972
ess,1972
el,1972
etsy,1791
re,1972
evrg,1001
es,1972
exc,7570
expe,4245
expd,7336
exr,1972
xom,1972
ffiv,5783
fast,7340
fdx,1972
fis,1972
fitb,7338
fe,1972
fisv,7336
fmc,1972
f,1972
ftnt,3150
ftv,1494
fbhs,1972
foxa,809
fox,808
ben,1972
fcx,1972
grmn,117
it,1972
gnrc,1972
gd,1972
ge,1972
gis,1972
gm,1972
gpc,1972
gild,7336
gpn,1972
gl,1972
gs,1972
hal,1972
hig,1972
has,7576
hca,1972
peak,1972
hsic,6680
hes,1972
hpe,1662
hlt,1972
holx,7339
hd,1972
hon,7573
hrl,1972
hst,7574
hwm,1972
hpq,1972
hum,1972
hban,7339
hii,1972
ibm,1972
idxx,7339
itw,1972
ilmn,5492
incy,6630
ir,1268
intc,7577
hsy,1972
lhx,1972
ice,1972
iff,1972
ip,1972
ipg,1972
intu,7340
isrg,5524
ivz,1972
ipgp,3888
iqv,1972
irm,1850
sjm,1972
jbht,7338
jkhy,7340
j,1972
jnj,1972
jci,1892
jpm,1972
jnpr,1972
k,1972
key,1972
keys,1913
kmb,1972
kim,1972
kmi,1972
klac,7339
kr,1972
lh,1972
lrcx,7338
lw,1397
lvs,1972
ldos,1972
len,1972
lnc,1972
lin,897
lyv,1972
lkq,4693
lmt,1972
l,1972
low,1972
lumn,1972
lyb,1972
mtb,1972
mro,1972
mpc,1972
mktx,4418
mar,6084
mmc,1972
