predicted,actual
Epochs: 500
1.3058609,1
0.0,0
1.3058609,1
4.2208877,4
0.0,0
0.0,0
6.996634,7
2.318455,3
5.0233383,5
2.6998484,3
7.7736235,8
8.783856,9
1.3058609,1
3.2387478,3
3.6366048,3
1.3058609,1
1.8839221,2
0.0,0
7.25036,7
5.2130995,5
8.012778,8
6.738558,6
1.8194807,2
0.0,0
2.1970026,2
3.221264,3
6.340592,6
9.21764,9
8.981644,9
6.898762,7
8.28718,8
8.843097,9
4.30112,4
9.100786,9
2.0586479,2
1.3058609,1
3.1292825,3
1.3058609,1
1.3058609,1
4.040348,4
9.0882435,9
1.3058609,1
4.2171226,4
4.0349536,4
1.3058609,2
6.10223,6
2.9174361,3
7.232283,7
7.6968107,7
4.1654177,4
7.277786,7
5.12951,5
1.3058609,1
9.320964,9
0.0,0
1.3058609,2
2.220365,2
3.0344577,3
9.387965,9
1.3058609,1
1.3058609,1
1.3058609,1
4.9640827,5
0.0,0
6.3309994,6
3.0684712,3
4.120154,4
8.333409,8
1.3058609,1
0.0,0
3.018838,3
8.880966,9
6.046145,6
2.1850162,2
5.754835,6
1.3058609,4
6.785908,7
1.3058609,1
4.1011896,4
1.3058609,1
5.1483717,5
4.2695913,4
8.204498,8
8.754718,9
2.002431,2
9.294481,9
9.092441,9
6.571671,8
8.73363,9
6.025243,6
3.3815784,3
5.735923,6
4.040591,4
5.8572764,6
2.2934601,2
8.663318,9
1.3058609,1
2.1917198,2
0.0,0
5.0580583,5
8.616925,9
1.6403477,2
7.2379637,7
7.269403,7
2.2275558,2
7.838322,8
7.869334,8
5.2221575,5
0.0,0
6.0857387,6
0.0,0
0.0,0
1.9551876,2
8.886799,9
0.0,0
4.581065,4
6.9342203,7
6.957252,7
1.3058609,1
5.181921,5
1.3058609,7
9.071495,9
4.2568803,4
6.381445,6
1.3058609,1
4.8579016,5
6.9531846,7
5.8316092,6
5.0309114,5
0.0,0
4.12029,4
8.476492,8
6.9951596,7
6.7397985,6
1.3058609,1
8.360378,8
6.8392425,7
3.2081857,3
7.0017343,7
2.9893868,3
1.3058609,1
0.0,0
2.4860735,3
5.2137794,4
5.0787435,5
4.115736,4
0.0,0
5.571285,5
3.9116693,4
0.0,0
3.1992638,3
4.648846,5
1.3058609,1
0.0,0
7.912194,8
2.9767246,3
6.811395,7
0.0,0
8.732101,9
6.0591135,6
5.947267,6
8.487028,9
5.1309233,5
3.9454536,4
5.5996704,6
8.479402,9
3.6250486,3
5.220119,5
4.3323936,4
1.8773685,2
3.7371554,4
7.9035797,8
6.9542685,7
6.5651426,7
4.645802,5
8.201609,8
8.113561,8
7.816782,8
2.0235035,2
6.573137,6
8.519571,9
1.3058609,3
1.3058609,1
0.0,0
4.002062,4
1.3058609,1
4.98528,5
9.484876,9
0.0,0
6.046915,6
2.2016172,2
1.3058609,1
3.2636201,3
0.0,0
6.1543226,6
0.0,0
0.0,0
7.5194564,8
3.1088023,3
1.8273325,2
0.0,0
0.0,0
6.2710795,6
0.0,0
0.0,0
3.8706703,4
6.876265,7
2.202133,2
7.602713,7
1.3058609,1
8.6685915,9
9.200374,9
2.9122312,3
9.480629,9
7.9713035,8
4.478716,4
6.05666,6
5.7594047,6
4.853397,5
3.188715,3
7.8623514,8
1.3058609,1
7.719832,8
7.044399,7
1.3058609,1
3.1086745,3
7.141531,7
6.3838367,6
2.767705,3
6.4113555,6
3.0413096,3
6.4240737,6
2.9755764,3
2.1924164,2
2.6444712,3
1.3058609,2
1.3058609,2
7.07163,7
8.989853,9
1.8383381,2
3.225223,3
